User,Description,Title,Views,Comments,Likes,Date Posted,BookTube?
Trouillet,vlog + literary,[MA PILE A LIRE 2023] Quand Annie Ernaux rencontre Sailor Moon,455,38,79,2023-06-14,Yes
Bookoa,educational,"LES ANNÉES d’Annie Ernaux, ou comment s’incarner en société",4397,16,158,2022-08-07,No
AmeliaLitt,feminist + lit,Amour littéraire : Annie Ernaux et moi,5416,33,377,2021-03-21,Yes
Des livres et nous,autodidact + vlog,"6 livres pour plonger dans l’œuvre d’Annie Ernaux, Nobel de littérature 2022",599,10,56,2023-09-15,Yes
JuanReads,vlog + literary,IN DEEP CONVERSATION: The Years by Annie Ernaux @HardcoverHearts (#1 of 3),1952,14,48,2020-02-03,Yes
Hardcover Hearts,vlog + literary,In Deep Conversation-The Years with Bookish Islander (video 2 of 3),546,10,20,2020-02-03,Yes
Vincent Francey,literary,Annie Ernaux - Les années,1208,3,27,2023-09-12,Yes
Vincent Francey,literary + vlog,"Au quotidien : Lecture, Les années d’Annie Ernaux",940,4,5,2018-08-08,Yes
JuanReads,vlog + feminist,IN DEEP CONVERSATION: The Years by Annie Ernaux @HardcoverHearts (#3 of 3),489,15,4,2020-02-05,Yes
Le Hussard,reactionary,JE BALAYE LE PRIX NOBEL (ET ANNIE ERNAUX DANS LA FOULÉE) ! Cour martiale #5,55700,381,3164,2022-12-04,Yes
Le Hussard,reactionary,ÉDOUARD LOUIS OU LE NAUFRAGE D’UN ROMANCIER !,31803,168,1866,2023-10-15,Yes
Silje,vlog,Book talk: The End of Eddy by Edouard Louis,1627,21,33,2017-05-01,Yes
Bob the Bookerer,lit + vlog,"Edourd Louis-Violence, Family, and Having The Last Word",676,13,37,2022-11-05,Yes
Des plans sur la colline,vlog + lit,"Homophobie, classes sociales, autobiographie : “En finir avec Eddy Bellegueule”",4839,10,160,2018-08-30,Yes
Cliff Notes,educational,"Plot summary, “The End of Eddy” by Édouard Louis in 4 Minutes - Book Review",51,0,2,2024-07-02,No
Manika Wangata,literary,Book Chat II The End of Eddy (En finir avec Eddy Bellegueule) by Edouard Louis,389,22,8,2016-06-26,Yes
Hugo Marroquin,vlog + educational,Le succès d’après Édouard Louis + 10 astuces pour devenir un phénomène littéraire,17,0,1,2022-02-07,Yes
Henrik Nourry,lit + identity politics,4 livres “Gay Friendly” - Spéciale Gay Pride 2017,762,2,18,2017-06-20,Yes
Le Monde de Fatima,vlog + lit,Revue: En finir avec Eddy Bellegueule d’Edouard Louis,4004,8,148,2018-03-08,Yes
Le Hussard,reactionary,"CHATEAUBRIAND, COMPRENDRE LA POLITIQUE AVEC LES MÉMOIRES D’OUTRE-TOMBE",46635,140,2752,2022-02-06,Yes
Library Books,materialist,"A Folio Society edition of Memoirs from Beyond the Tomb, by Chateaubriand",183,0,4,2022-02-05,No
Amy's Dusty Bookshelf,lit + blog,Memoirs From Beyond the Grave - François-René de Chateaubriand,2387,30,107,2021-04-25,Yes
Steve Donoghue,mat + lit + vlog,Your Daily Penguin: Memoirs from Beyond the Tomb!,2168,10,0,2020-11-24,No
Ava Amara,lit + vlog + edu,MÉMOIRES D’OUTRE-TOMBE CHATEAUBRIAND,9659,56,288,2019-02-13,Yes
Le Hussard,reactionary,LE PLUS GROS CLASH LITTÉRAIRE DE TOUS LES TEMPS : VOLTAIRE CONTRE ROUSSEAU !,28112,180,1937,2023-05-16,Yes
Ryan Freeman,vlog,The Confessions of Jean-Jacques Rousseau Book Review,1123,11,39,2023-09-18,Yes
Living and Reading,mat + vlog + edu,The Confessions [...] Rousseau Review + Summary Plus Win/Buy Leather Covered Book,341,0,4,2023-02-22,No
Naraniecki’s [...] Lectures,educational,LIT102: Lecture 4 summary Rousseau’s Confessions,2752,0,41,2019-08-15,No
Un Cours en 5 Minutes,educational,Jean-Jacques ROUSSEAU : sa vie (pas folle) et son autobiographie,27109,36,756,2021-02-10,No
Helsinki Renaissance,vlog,King Of Confessions: Is It Usher Or Rousseau?,30,0,1,2017-10-19,Yes
Antastesia,vlog + lit,Litchat : Rousseau & the first autobiography.,9270,47,351,2015-08-16,Yes
